event_id,transaction_id,customer_id,customer_name,customer_email,customer_phone,merchant_category,gateway_provider,payment_method,user_device,event_type,failure_category,created_at,amount,customer_age_days,prev_payment_count,prev_success_count,prev_failure_count,historical_success_rate,days_since_last_success,customer_activity_score,failure_category_encoded,attempt_number,hours_since_failure,invoice_age_days,prev_recovery_actions,prev_recovery_outcomes,recovered
EV_100010,TXN_202600010,CUST_2800,Meera Verma,meera.verma71@enterprise.in,+919636143436,SaaS,Stripe,Credit Card,Desktop,failed_payment,insufficient_funds,2026-07-01 16:37:37,2632.44,585,49,38,11,0.7755,15,4.22,1,1,9.33,0,0,0,0
EV_100011,TXN_202600011,CUST_1985,Vihaan Kumar,vihaan.kumar3@enterprise.in,+917400661168,EdTech,Stripe,UPI,Mobile,failed_payment,user_timeout,2026-07-06 05:17:37,42842.58,377,4,3,1,0.75,169,5.91,3,5,14.74,0,3,2,1
EV_100012,TXN_202600012,CUST_1410,Ishaan Nair,ishaan.nair93@outlook.com,+918697583218,SaaS,PayU,Credit Card,Tablet,failed_payment,expired_card,2026-08-10 21:53:37,5271.84,749,49,26,23,0.5306,106,4.45,0,3,18.93,0,1,0,1
EV_100013,TXN_202600013,CUST_2830,Ishaan Kumar,ishaan.kumar30@company.in,+917555653468,B2B Wholesale,Stripe,NetBanking,Mobile,failed_payment,bank_downtime,2026-08-06 17:13:37,3664.2,989,23,15,8,0.6522,174,9.2,4,1,2.88,0,1,1,1
EV_100014,TXN_202600014,CUST_3398,Vihaan Nair,vihaan.nair90@gmail.com,+917729408673,EdTech,CCAvenue,UPI,Tablet,failed_payment,expired_card,2026-08-07 11:17:37,3932.35,1009,33,27,6,0.8182,104,7.78,0,2,5.16,0,1,1,0
EV_100015,TXN_202600015,CUST_2104,Aadhya Patel,aadhya.patel10@yahoo.com,+918906930248,E-commerce Retail,PayU,Credit Card,Mobile,failed_payment,user_timeout,2026-06-28 08:44:37,10691.83,943,35,21,14,0.6,151,2.13,3,2,9.33,0,3,1,1
EV_100016,TXN_202600016,CUST_1173,Aditya Mehta,aditya.mehta12@company.in,+916414741061,SaaS,CCAvenue,Credit Card,Tablet,failed_payment,bank_downtime,2026-06-26 15:08:37,2859.64,204,49,30,19,0.6122,34,8.24,4,3,19.31,0,2,2,1
EV_100017,TXN_202600017,CUST_3449,Kunal Patel,kunal.patel68@outlook.com,+919459101205,B2B Wholesale,Stripe,Credit Card,Tablet,failed_payment,network_error,2026-06-19 21:36:37,10352.44,172,13,11,2,0.8462,35,7.6,2,1,39.9,0,0,0,1
EV_100018,TXN_202600018,CUST_1813,Ananya Kulkarni,ananya.kulkarni59@company.in,+916129983470,B2B Wholesale,CCAvenue,Debit Card,Desktop,checkout_abandonment,user_timeout,2026-07-04 07:56:37,7029.56,695,6,5,1,0.8333,29,8.9,3,2,2.37,0,3,3,1
EV_100019,TXN_202600019,CUST_2198,Aarav Nair,aarav.nair46@yahoo.com,+916968474938,E-commerce Retail,Stripe,Wallet,Desktop,checkout_abandonment,user_timeout,2026-06-19 05:26:37,25000.0,1379,28,21,7,0.75,176,5.58,3,1,35.75,0,3,2,1
EV_100020,TXN_202600020,CUST_1201,Aadhya Joshi,aadhya.joshi8@company.in,+916444537179,B2B Wholesale,Stripe,UPI,Tablet,checkout_abandonment,user_timeout,2026-08-14 04:07:37,2424.04,338,23,13,10,0.5652,130,5.74,3,1,20.01,0,0,0,1
EV_100021,TXN_202600021,CUST_2320,Kabir Reddy,kabir.reddy16@outlook.com,+918261195798,B2B Wholesale,Cashfree,Debit Card,Mobile,checkout_abandonment,user_timeout,2026-07-22 14:15:37,902.21,245,48,25,23,0.5208,151,8.66,3,1,4.86,0,2,2,0
EV_100022,TXN_202600022,CUST_2827,Kunal Chopra,kunal.chopra72@gmail.com,+917882317517,E-commerce Retail,Razorpay,Debit Card,Tablet,failed_payment,insufficient_funds,2026-08-18 22:50:37,7703.79,439,17,16,1,0.9412,147,7.59,1,1,13.96,0,2,2,0
EV_100023,TXN_202600023,CUST_1571,Ira Sharma,ira.sharma58@gmail.com,+918646167278,E-commerce Retail,Cashfree,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-08-13 03:52:37,28366.78,764,45,34,11,0.7556,166,5.65,1,1,226.19,59,1,1,1
EV_100024,TXN_202600024,CUST_1702,Ira Kulkarni,ira.kulkarni17@company.in,+916999329934,E-commerce Retail,Razorpay,UPI,Desktop,failed_payment,insufficient_funds,2026-07-30 02:27:37,1023.88,249,22,18,4,0.8182,113,6.93,1,1,0.31,0,2,2,1
EV_100025,TXN_202600025,CUST_2062,Saanvi Mehta,saanvi.mehta96@enterprise.in,+919117765740,E-commerce Retail,CCAvenue,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-08-02 10:06:37,23875.72,1377,33,20,13,0.6061,159,8.47,1,1,226.31,88,2,1,0
EV_100026,TXN_202600026,CUST_3101,Meera Malhotra,meera.malhotra48@enterprise.in,+916456675757,B2B Wholesale,Cashfree,UPI,Mobile,failed_payment,insufficient_funds,2026-06-01 13:55:37,814.54,1450,28,22,6,0.7857,9,7.66,1,1,4.04,0,3,3,0
EV_100027,TXN_202600027,CUST_3062,Saanvi Bhat,saanvi.bhat21@gmail.com,+916229943290,SaaS,CCAvenue,Debit Card,Mobile,failed_payment,network_error,2026-08-26 21:04:37,17252.48,1193,25,24,1,0.96,166,4.21,2,3,21.86,0,1,1,1
EV_100028,TXN_202600028,CUST_2634,Meera Singh,meera.singh79@yahoo.com,+916427205530,SaaS,PayU,Bank Transfer / NEFT,Tablet,overdue_invoice,insufficient_funds,2026-07-10 14:49:37,24210.06,1207,24,24,0,1.0,43,8.94,1,1,65.4,16,2,2,1
EV_100029,TXN_202600029,CUST_2458,Ishaan Chopra,ishaan.chopra31@enterprise.in,+917680888691,EdTech,CCAvenue,NetBanking,Desktop,failed_payment,user_timeout,2026-08-23 10:03:37,3110.74,910,14,14,0,1.0,14,5.17,3,1,9.84,0,3,2,1
EV_100030,TXN_202600030,CUST_1706,Ira Gupta,ira.gupta68@outlook.com,+917930090462,E-commerce Retail,Razorpay,Credit Card,Desktop,failed_payment,user_timeout,2026-06-28 16:27:37,1804.3,171,20,19,1,0.95,139,9.41,3,1,25.11,0,2,2,1
EV_100031,TXN_202600031,CUST_1383,Ishaan Kumar,ishaan.kumar19@enterprise.in,+917668437028,EdTech,Cashfree,Credit Card,Desktop,failed_payment,bank_downtime,2026-07-06 05:50:37,5315.73,1450,28,20,8,0.7143,148,7.2,4,1,18.72,0,1,1,1
EV_100032,TXN_202600032,CUST_1344,Rohan Malhotra,rohan.malhotra73@gmail.com,+916770321709,EdTech,CCAvenue,NetBanking,Desktop,overdue_invoice,insufficient_funds,2026-06-24 03:41:37,23343.21,1142,22,17,5,0.7727,54,6.08,1,1,129.34,76,0,0,0
EV_100033,TXN_202600033,CUST_2734,Ananya Kulkarni,ananya.kulkarni52@yahoo.com,+919856972085,EdTech,Stripe,Debit Card,Tablet,failed_payment,network_error,2026-07-30 13:12:37,1952.0,303,20,13,7,0.65,153,5.31,2,2,4.79,0,3,1,0
EV_100034,TXN_202600034,CUST_1204,Ananya Verma,ananya.verma13@enterprise.in,+918913617098,SaaS,Razorpay,UPI,Tablet,failed_payment,bank_downtime,2026-06-23 01:59:37,1964.09,705,26,18,8,0.6923,65,7.96,4,2,2.76,0,2,2,1
EV_100035,TXN_202600035,CUST_1362,Kabir Kumar,kabir.kumar36@company.in,+917567729816,B2B Wholesale,Razorpay,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-08-20 10:08:37,4336.26,800,9,7,2,0.7778,152,6.99,3,2,0.1,0,1,1,1
EV_100036,TXN_202600036,CUST_2016,Aarav Kulkarni,aarav.kulkarni83@outlook.com,+918706500866,EdTech,Stripe,NetBanking,Desktop,overdue_invoice,insufficient_funds,2026-07-19 21:28:37,25470.79,136,30,13,17,0.4333,1,9.89,1,1,30.13,89,1,1,1
EV_100037,TXN_202600037,CUST_2365,Meera Kulkarni,meera.kulkarni22@enterprise.in,+917177459443,B2B Wholesale,PayU,Debit Card,Mobile,checkout_abandonment,user_timeout,2026-07-22 10:15:37,499.0,74,46,38,8,0.8261,75,5.94,3,2,7.62,0,1,1,1
EV_100038,TXN_202600038,CUST_2630,Aarav Chopra,aarav.chopra48@company.in,+917629401436,EdTech,PayU,UPI,Tablet,checkout_abandonment,user_timeout,2026-08-02 10:31:37,1554.58,1244,22,9,13,0.4091,46,6.74,3,2,27.5,0,3,2,0
EV_100039,TXN_202600039,CUST_3497,Aarav Chopra,aarav.chopra52@company.in,+918424201005,B2B Wholesale,Stripe,UPI,Tablet,failed_payment,insufficient_funds,2026-07-25 05:28:37,1555.27,773,42,34,8,0.8095,95,4.21,1,1,2.4,0,3,2,1
EV_100040,TXN_202600040,CUST_2088,Arjun Kulkarni,arjun.kulkarni53@company.in,+919857160925,B2B Wholesale,CCAvenue,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-05-31 14:20:37,31995.84,908,31,24,7,0.7742,8,6.99,1,1,197.37,57,2,2,1
EV_100041,TXN_202600041,CUST_2384,Vihaan Joshi,vihaan.joshi91@gmail.com,+916868964847,E-commerce Retail,Stripe,UPI,Mobile,checkout_abandonment,user_timeout,2026-07-22 07:59:37,3536.13,723,10,6,4,0.6,145,5.97,3,1,10.27,0,3,2,1
EV_100042,TXN_202600042,CUST_2665,Sneha Kulkarni,sneha.kulkarni25@enterprise.in,+919690678554,SaaS,CCAvenue,UPI,Tablet,failed_payment,network_error,2026-07-21 18:36:37,8895.76,831,21,19,2,0.9048,109,4.81,2,2,5.11,0,2,2,1
EV_100043,TXN_202600043,CUST_1909,Ira Bhat,ira.bhat72@outlook.com,+916594448391,SaaS,CCAvenue,Credit Card,Desktop,failed_payment,user_timeout,2026-07-25 10:26:37,841.92,167,23,14,9,0.6087,139,7.5,3,2,33.07,0,1,0,0
EV_100044,TXN_202600044,CUST_1563,Saanvi Reddy,saanvi.reddy89@outlook.com,+917175085349,SaaS,Stripe,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-07-10 01:27:37,21822.6,1277,27,23,4,0.8519,76,4.21,1,1,132.84,68,2,2,1
EV_100045,TXN_202600045,CUST_1279,Ishaan Nair,ishaan.nair44@enterprise.in,+917521651018,B2B Wholesale,Razorpay,Debit Card,Tablet,failed_payment,insufficient_funds,2026-06-06 06:18:37,8225.55,1121,45,37,8,0.8222,157,8.99,1,1,32.41,0,2,2,1
EV_100046,TXN_202600046,CUST_1462,Aadhya Sharma,aadhya.sharma79@outlook.com,+919463656690,EdTech,PayU,Debit Card,Tablet,failed_payment,network_error,2026-08-12 17:03:37,2725.28,709,10,8,2,0.8,46,9.73,2,2,10.41,0,2,2,1
EV_100047,TXN_202600047,CUST_1837,Vivaan Malhotra,vivaan.malhotra69@gmail.com,+918013776199,B2B Wholesale,Razorpay,UPI,Mobile,failed_payment,user_timeout,2026-08-19 22:54:37,29249.15,733,31,21,10,0.6774,147,9.19,3,2,5.64,0,3,0,0
EV_100048,TXN_202600048,CUST_2018,Kabir Joshi,kabir.joshi99@outlook.com,+919637667342,E-commerce Retail,PayU,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-07-06 00:06:37,25000.0,1491,40,32,8,0.8,82,7.88,3,1,5.9,0,3,3,1
EV_100049,TXN_202600049,CUST_1089,Kavya Kumar,kavya.kumar59@outlook.com,+917870403050,EdTech,PayU,Debit Card,Desktop,checkout_abandonment,user_timeout,2026-06-12 16:56:37,25000.0,1331,13,10,3,0.7692,158,7.96,3,2,1.35,0,2,1,1
EV_100050,TXN_202600050,CUST_1398,Aditya Reddy,aditya.reddy96@yahoo.com,+918983729287,B2B Wholesale,PayU,UPI,Tablet,checkout_abandonment,user_timeout,2026-08-01 23:37:37,1905.9,1085,25,18,7,0.72,125,6.54,3,1,14.56,0,3,1,1
EV_100051,TXN_202600051,CUST_1115,Kabir Rao,kabir.rao76@gmail.com,+919284620817,B2B Wholesale,Stripe,Credit Card,Mobile,failed_payment,user_timeout,2026-08-20 03:33:37,11105.45,1208,45,23,22,0.5111,148,4.05,3,2,6.5,0,2,0,0
EV_100052,TXN_202600052,CUST_3112,Kavya Mehta,kavya.mehta47@outlook.com,+919556128291,EdTech,PayU,Credit Card,Tablet,failed_payment,network_error,2026-07-26 22:17:37,28150.9,1311,18,13,5,0.7222,16,8.93,2,3,10.71,0,3,3,1
EV_100053,TXN_202600053,CUST_3216,Rohan Singh,rohan.singh5@outlook.com,+918870894543,E-commerce Retail,Stripe,NetBanking,Desktop,checkout_abandonment,user_timeout,2026-06-08 08:38:37,1187.92,1365,39,32,7,0.8205,102,6.9,3,1,4.01,0,2,2,0
EV_100054,TXN_202600054,CUST_2109,Vihaan Kumar,vihaan.kumar38@gmail.com,+918245312271,B2B Wholesale,CCAvenue,Debit Card,Mobile,checkout_abandonment,user_timeout,2026-07-26 04:56:37,23608.08,1200,11,8,3,0.7273,96,8.54,3,1,5.3,0,0,0,0
EV_100055,TXN_202600055,CUST_2542,Aarav Nair,aarav.nair59@gmail.com,+916363608048,SaaS,CCAvenue,Credit Card,Desktop,failed_payment,insufficient_funds,2026-08-11 19:00:37,6542.81,1090,5,5,0,1.0,167,2.76,1,2,37.27,0,2,2,1
EV_100056,TXN_202600056,CUST_3382,Meera Rao,meera.rao34@gmail.com,+916838671966,B2B Wholesale,CCAvenue,Credit Card,Tablet,failed_payment,user_timeout,2026-07-04 05:37:37,50000.0,1122,14,7,7,0.5,117,3.89,3,4,1.27,0,1,0,0
EV_100057,TXN_202600057,CUST_1369,Saanvi Kulkarni,saanvi.kulkarni56@gmail.com,+916045302356,SaaS,PayU,UPI,Tablet,failed_payment,bank_downtime,2026-07-29 14:33:37,2803.6,709,8,6,2,0.75,57,6.41,4,1,7.67,0,2,2,1
EV_100058,TXN_202600058,CUST_1508,Meera Mehta,meera.mehta51@enterprise.in,+916439427140,EdTech,CCAvenue,UPI,Tablet,failed_payment,bank_downtime,2026-08-09 15:11:37,4782.44,1307,2,2,0,1.0,144,5.45,4,3,2.52,0,2,2,1
EV_100059,TXN_202600059,CUST_2479,Saanvi Reddy,saanvi.reddy73@yahoo.com,+917606148055,EdTech,Stripe,UPI,Tablet,failed_payment,insufficient_funds,2026-07-12 17:29:37,25181.95,439,43,37,6,0.8605,0,4.97,1,1,11.95,0,1,1,0
EV_100060,TXN_202600060,CUST_1253,Ishaan Chopra,ishaan.chopra20@outlook.com,+918829236141,EdTech,CCAvenue,Debit Card,Tablet,failed_payment,bank_downtime,2026-07-05 11:36:37,670.13,1219,41,39,2,0.9512,145,7.57,4,2,1.34,0,2,2,1
EV_100061,TXN_202600061,CUST_2287,Arjun Mehta,arjun.mehta29@company.in,+918920495836,EdTech,Stripe,Credit Card,Tablet,checkout_abandonment,user_timeout,2026-07-16 09:16:37,25000.0,637,31,22,9,0.7097,154,5.64,3,1,6.7,0,1,1,1
EV_100062,TXN_202600062,CUST_2342,Arjun Kumar,arjun.kumar1@yahoo.com,+919794931145,SaaS,CCAvenue,UPI,Mobile,failed_payment,insufficient_funds,2026-06-01 19:05:37,1782.97,918,47,39,8,0.8298,29,7.12,1,1,3.97,0,1,0,0
EV_100063,TXN_202600063,CUST_3344,Meera Bhat,meera.bhat15@outlook.com,+917831872219,SaaS,Cashfree,Credit Card,Desktop,failed_payment,network_error,2026-06-15 19:50:37,7628.46,226,3,2,1,0.6667,50,9.51,2,2,11.9,0,0,0,1
EV_100064,TXN_202600064,CUST_2541,Pooja Joshi,pooja.joshi38@gmail.com,+919244139847,B2B Wholesale,PayU,Debit Card,Tablet,failed_payment,bank_downtime,2026-07-08 19:14:37,2223.58,1188,27,19,8,0.7037,104,3.8,4,2,11.04,0,1,1,1
EV_100065,TXN_202600065,CUST_1204,Ananya Verma,ananya.verma13@enterprise.in,+918913617098,SaaS,Stripe,UPI,Desktop,failed_payment,insufficient_funds,2026-08-23 07:37:37,2514.0,705,27,19,8,0.7037,0,7.96,1,3,16.14,0,2,2,1
EV_100066,TXN_202600066,CUST_2735,Saanvi Joshi,saanvi.joshi45@company.in,+918877098418,SaaS,Stripe,UPI,Desktop,failed_payment,network_error,2026-07-21 12:47:37,910.45,176,49,45,4,0.9184,57,5.24,2,4,61.82,0,0,0,1
EV_100067,TXN_202600067,CUST_2263,Reyansh Sharma,reyansh.sharma98@outlook.com,+917113907992,SaaS,Cashfree,Debit Card,Mobile,checkout_abandonment,user_timeout,2026-07-08 05:43:37,1826.03,404,28,20,8,0.7143,161,7.15,3,1,6.68,0,3,1,1
EV_100068,TXN_202600068,CUST_2513,Saanvi Verma,saanvi.verma94@yahoo.com,+918126746095,SaaS,Stripe,Debit Card,Desktop,failed_payment,expired_card,2026-06-16 07:37:37,1094.46,480,15,13,2,0.8667,53,7.0,0,3,0.13,0,1,1,0
EV_100069,TXN_202600069,CUST_2184,Sneha Reddy,sneha.reddy75@gmail.com,+916889915488,E-commerce Retail,Razorpay,Credit Card,Desktop,failed_payment,bank_downtime,2026-07-01 03:03:37,10200.08,1336,16,9,7,0.5625,116,6.47,4,2,11.87,0,1,1,1
EV_100070,TXN_202600070,CUST_1219,Saanvi Verma,saanvi.verma29@gmail.com,+917368741091,E-commerce Retail,Stripe,Debit Card,Mobile,failed_payment,expired_card,2026-06-13 09:21:37,28242.73,797,8,5,3,0.625,38,8.5,0,1,1.02,0,2,2,0
EV_100071,TXN_202600071,CUST_2851,Aarav Singh,aarav.singh42@gmail.com,+916604455728,B2B Wholesale,Stripe,Debit Card,Tablet,checkout_abandonment,user_timeout,2026-07-06 01:28:37,9523.94,1355,17,14,3,0.8235,145,5.9,3,1,5.88,0,1,1,1
EV_100072,TXN_202600072,CUST_2294,Arjun Kumar,arjun.kumar7@yahoo.com,+917965087134,E-commerce Retail,Stripe,UPI,Mobile,failed_payment,insufficient_funds,2026-08-03 02:06:37,500.0,1218,43,38,5,0.8837,148,8.04,1,1,0.37,0,1,1,1
EV_100073,TXN_202600073,CUST_1378,Sneha Reddy,sneha.reddy1@outlook.com,+916883837629,SaaS,CCAvenue,Credit Card,Desktop,checkout_abandonment,user_timeout,2026-06-04 23:58:37,1430.51,826,19,19,0,1.0,148,4.74,3,2,24.29,0,0,0,0
EV_100074,TXN_202600074,CUST_3198,Pooja Patel,pooja.patel37@gmail.com,+917689612110,E-commerce Retail,Razorpay,Bank Transfer / NEFT,Desktop,overdue_invoice,insufficient_funds,2026-07-13 08:09:37,21687.51,1441,23,18,5,0.7826,178,8.4,1,1,120.11,51,1,1,0
EV_100075,TXN_202600075,CUST_3288,Aditya Gupta,aditya.gupta14@company.in,+916984651847,EdTech,Cashfree,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-08-18 20:46:37,49307.1,880,46,37,9,0.8043,69,7.72,1,1,120.25,77,1,1,1
EV_100076,TXN_202600076,CUST_2818,Diya Mehta,diya.mehta58@yahoo.com,+917826640623,E-commerce Retail,PayU,UPI,Desktop,failed_payment,bank_downtime,2026-08-10 16:16:37,2778.5,675,38,25,13,0.6579,107,7.71,4,2,2.96,0,3,2,1
EV_100077,TXN_202600077,CUST_1672,Pooja Chopra,pooja.chopra10@gmail.com,+916695782515,B2B Wholesale,Razorpay,Debit Card,Mobile,failed_payment,insufficient_funds,2026-06-04 09:46:37,9604.63,858,23,6,17,0.2609,81,8.55,1,4,10.13,0,1,0,0
EV_100078,TXN_202600078,CUST_1937,Ishaan Joshi,ishaan.joshi91@enterprise.in,+919243747169,B2B Wholesale,PayU,Bank Transfer / NEFT,Mobile,overdue_invoice,insufficient_funds,2026-07-23 03:05:37,18949.77,976,10,4,6,0.4,48,2.12,1,1,197.39,90,1,0,0
EV_100079,TXN_202600079,CUST_3180,Aditya Patel,aditya.patel22@company.in,+916490644268,E-commerce Retail,Stripe,UPI,Tablet,checkout_abandonment,user_timeout,2026-07-03 01:57:37,10546.82,989,7,5,2,0.7143,88,5.52,3,1,0.46,0,3,2,0
EV_100080,TXN_202600080,CUST_1716,Aditya Patel,aditya.patel13@gmail.com,+919114589739,SaaS,Cashfree,Credit Card,Mobile,failed_payment,expired_card,2026-06-20 17:00:37,1634.88,1093,16,10,6,0.625,49,7.97,0,2,13.61,0,3,1,0
EV_100081,TXN_202600081,CUST_2037,Kabir Gupta,kabir.gupta61@yahoo.com,+916702463180,SaaS,PayU,UPI,Mobile,checkout_abandonment,user_timeout,2026-06-22 16:51:37,16156.46,103,47,21,26,0.4468,112,6.98,3,2,2.19,0,3,1,1
EV_100082,TXN_202600082,CUST_2504,Pooja Joshi,pooja.joshi52@outlook.com,+916294803584,SaaS,Stripe,Debit Card,Desktop,failed_payment,bank_downtime,2026-08-15 12:00:37,50000.0,445,19,17,2,0.8947,43,4.4,4,3,14.83,0,3,3,1
EV_100083,TXN_202600083,CUST_1456,Ishaan Sharma,ishaan.sharma77@outlook.com,+916125857393,EdTech,Cashfree,Wallet,Mobile,checkout_abandonment,user_timeout,2026-06-25 12:34:37,17540.62,683,19,19,0,1.0,121,6.61,3,2,3.37,0,0,0,1
EV_100084,TXN_202600084,CUST_3012,Sneha Kulkarni,sneha.kulkarni90@enterprise.in,+918912827695,E-commerce Retail,Stripe,NetBanking,Desktop,checkout_abandonment,user_timeout,2026-08-08 02:17:37,11730.81,770,6,3,3,0.5,82,8.39,3,2,3.58,0,2,1,1
EV_100085,TXN_202600085,CUST_2202,Sneha Nair,sneha.nair39@gmail.com,+916736259025,EdTech,Stripe,UPI,Mobile,failed_payment,insufficient_funds,2026-07-20 01:34:37,26333.45,1338,8,8,0,1.0,9,9.06,1,3,9.88,0,1,1,0
EV_100086,TXN_202600086,CUST_1695,Kabir Reddy,kabir.reddy32@gmail.com,+916855471045,E-commerce Retail,Stripe,Debit Card,Desktop,failed_payment,user_timeout,2026-06-05 01:44:37,4642.96,937,31,26,5,0.8387,134,8.3,3,2,8.67,0,0,0,1
EV_100087,TXN_202600087,CUST_1275,Aadhya Gupta,aadhya.gupta81@enterprise.in,+919326907975,B2B Wholesale,Cashfree,UPI,Mobile,failed_payment,insufficient_funds,2026-06-17 05:33:37,1065.44,1103,26,21,5,0.8077,175,8.79,1,2,17.75,0,1,1,0
EV_100088,TXN_202600088,CUST_1940,Kunal Rao,kunal.rao61@gmail.com,+918808105335,SaaS,CCAvenue,NetBanking,Tablet,checkout_abandonment,user_timeout,2026-07-26 08:23:37,25000.0,1333,44,30,14,0.6818,107,8.21,3,1,14.32,0,2,2,1
EV_100089,TXN_202600089,CUST_2355,Rohan Kumar,rohan.kumar54@outlook.com,+917373706137,EdTech,PayU,UPI,Mobile,checkout_abandonment,user_timeout,2026-07-16 09:21:37,829.87,1487,5,4,1,0.8,11,8.92,3,1,6.75,0,1,1,1
EV_100090,TXN_202600090,CUST_2623,Reyansh Malhotra,reyansh.malhotra59@gmail.com,+916716275768,B2B Wholesale,Stripe,UPI,Tablet,failed_payment,expired_card,2026-08-15 05:34:37,10009.78,398,9,5,4,0.5556,68,2.87,0,4,0.39,0,3,2,0
EV_100091,TXN_202600091,CUST_1705,Sneha Gupta,sneha.gupta45@yahoo.com,+919145644409,SaaS,PayU,Credit Card,Desktop,overdue_invoice,insufficient_funds,2026-06-23 08:33:37,10000.0,1143,31,24,7,0.7742,154,8.13,1,1,217.28,47,2,2,0
EV_100092,TXN_202600092,CUST_3177,Pooja Reddy,pooja.reddy51@outlook.com,+916179923279,EdTech,CCAvenue,NetBanking,Desktop,overdue_invoice,insufficient_funds,2026-07-24 09:43:37,19793.68,594,4,3,1,0.75,4,7.11,1,1,89.34,61,2,2,1
EV_100093,TXN_202600093,CUST_2844,Arjun Malhotra,arjun.malhotra16@company.in,+916109194771,E-commerce Retail,Razorpay,Debit Card,Tablet,checkout_abandonment,user_timeout,2026-06-21 11:16:37,4959.18,930,30,26,4,0.8667,98,7.66,3,1,1.1,0,1,1,1
EV_100094,TXN_202600094,CUST_1505,Kabir Rao,kabir.rao35@company.in,+918204526134,EdTech,CCAvenue,NetBanking,Desktop,failed_payment,expired_card,2026-06-22 19:01:37,7184.01,453,3,3,0,1.0,122,3.09,0,2,0.79,0,0,0,0
EV_100095,TXN_202600095,CUST_2581,Ira Chopra,ira.chopra88@gmail.com,+918372952079,B2B Wholesale,CCAvenue,Credit Card,Tablet,failed_payment,insufficient_funds,2026-08-19 06:02:37,19176.09,806,32,26,6,0.8125,100,5.85,1,1,1.04,0,0,0,0
